document_id,clean_text,sentiment
1,soaring epicness second part film excellent climax tainted bloated boring technically terrible first half cringe dialogue poorly choreographed action scene unnecessary subplots prop used throughout movie looked like cheap foam much inspiration drawn hollywood movie first attempt nag ashwin average best hope improves significantly second part film focus mahabharata adapt faithfully possible sci fi element movie disappointing whereas character great epic thoroughly exhilarating,neutral
2,good attempt story engaging spoiler,positive
3,understand obsession hero entry people good story stick need star bigger story first hour story skippable completely rest vfx top notch even ending good obsession hero need stop also director invent character kalki reference took mahabharata please respectful part history something mock make serious want hero entry want film useless unfunny comedy,neutral
4,watched kalki hard express disappointment first movie riddled unnecessary comedic dialogue feel completely place especially given supposedly intense theme prabhas usually powerhouse sadly come across clownish character performance awkward forced making difficult take film seriously kyra character add little value screen time dedicated pointless talk drag narrative entire movie feel like overdoing everything action sequence emotional moment supposed comedy jarringly sync rest movie kamal haasan despite legendary actor almost role screen presence feel like used name draw audience real contribution screen additionally set blatantly borrows mad max fury road fails miserably capture essence original end kalki poorly executed overhyped mess one hard pas,neutral
5,unique genre well written story script strong character give movie strong start extravagant visuals detailed crisp vfx give audience much needed thrill however one forgo resemblance vfx shot movie like dune star war mad max black panther transformer although huge kudos team producing movie equivalent scale mentioned movie pro time taken build character explain world stunt crisp bright visuals screenplay direction comedy con music background score unique give much needed grandeur visuals scene repeated use score abruptly high background score stunt editing especially first half,positive
6,tricky justice big story time limit regular movie balance first released part good key flashback context like combat arjun karn spot story gripping visuals amazing thing better prabhas first part maybe could gone usual dubbing sharad kelkar hindi though time given build character first half apart amitabh ji one able justice create connect first half seems boring least hindi action st half well thing might want skip nd half want miss overall good blend indian mythology starwars scifi post apocalyptic movie totally went head prabhas transition kal bhairava karna,positive
7,replica star war movie supream leader look like emperor palpatine technology scene army build already star war series watched lot hollywood movie feel watching kind movie first time good side kalki first movie indian cinema level vfx completely give better competition hollywood science fiction movie story line movie could much better taken hour thing experienced story,neutral
8,buckle roller coaster ride cinematic chaos story idea absolute gem brimming potential character nothing short casting director dream one brimming pizzazz personality ala development seems left microwave bit long coming half baked screenplay flatter week old soda though must admit fizz key moment like interval climax dialogue let say winning literary award onto comedy kind instead tickling funny bone go straight jugular good way world building feel like put together duct tape imagination lacking immersive magic hoped let talk legendary amitabh bachchan stellar always prabhas give bless heart kamal hassan make brief yet dazzling appearance hinting brilliance next instalment saswata chatterjee brings game doubt deepika padukone look fine delivers decent performance telugu dubbing better trailer disha patani scorching enough set screen fire limited screen time rest cast including pashupati shobhana rajendra prasad put decent effort however film sprinkled cameo like confetti surprise party head scratcher treat action scene disappointing soggy french fry cinematography serviceable background music hit right note song miss mark production value respectable direction sail somewhere middling sea mediocrity vfx eye poppingly good though overall mixed bag delight letdown cinematic hotpot ingredient half cooked enjoy surprised leave theater feeling little unsatisfied,neutral
9,majestic scale grandeur vfx great blend sci fi mythology taken eye popping level proud moment indeed indian cinema stand tall mega mountain director nag aswin take u three different never seen world first half bit drag comedy element build editing could better second half elevates peak spectacular action sequence strong story crisp screenplay pre interval climax hair riser giving audience plenty goosebump prabhas usual coolness delivers deepika padukone emotes well bind character kamal getup dialogue delivery stun plenty surprise term star cast sir amitabh bachchan outweighs every character heart whole movie stature voice caring attitude protective nature breathtaking action scene remembered age terrific bgm technical aspect deeper mythological connection strong plot second half make audience go gaga true cinematic triumph giant sea swell box office,positive
10,inspired hollywood movie know deliver spoiler,positive
11,climax stole show spoiler,positive
12,right bat say plot superbly established made feel stake main storyline originates mahabharata creator really needed push boundary execution say able pull extraordinarily shortcoming read find attempted break thought major field without giving spoiler much negative connotation dialogue much say would expect sci fi flick hi fi english vocabulary paired modern hindi archaic style hindi sanksritised generally seen adaptation hindu epic character sorry say chemistry bhairava bujji almost non existent talk stuff bounty work final result many pun attempt make audience laugh left nothing established portrayal prabhas character got bit tiresome start interaction bhairava anyone boring apart exactly formidable force either ashwatthama genuinely feel creator give character power deserved instance ashwatthama power bound plot work last resort bhairava godlike damage human enemy literally stormtroopers time really dumb character deepika padukone appropriately executed according plot complaint remaining character nothing write home nothing gravity main character story execution start first half stretched much lot stretched time going bhairava intro filler interaction others extremely dull many continuity error like skipping somewhat essential bridging scene abruptly changing theme scene altogether apart story pertaining mahabharata told superbly flashback ashwatthama really good character could really feel high stake throughout movie essence plot well planned execution character part fell tad bit short vfx went high hope came surprised disappointed part vfx outstanding place exact opposite like de aged ab looking like came straight motu patlu bad vfx best visible fighting sequence jump scattered across film stress enough say jump flying inorganic cable everyone hovering around film really jump flight heavy given fact human godly stature chiranjeevi involved enemy thrown around protagonist jumping foot come surprise cinematography pretty standard nothing extravagant overall solid setup music absolute treat ear loved ashwatthama theme right announcement bhairava theme thing felt place might also maybe nitpicking much mixing abrupt change tone across scene affected experience bit nevertheless music complimented scene perfectly influence know movie inspired mahabharata would say reference epic sci fi present day story well balanced made sense essence mahabharata depiction conclusion plot extremely good story told really well however lacked department vfx special department named bhairava execution bit miss however even downside intriguing story goosebump moment especially towards end make worthwhile watch,positive
13,kalki movie experience redefines boundary science fiction epic storytelling directed visionary filmmaker nag ashwin film tour de force combine compelling narrative breathtaking visuals stellar performance setting new benchmark indian cinema plot storyline set dystopian future kalki explores theme hope survival eternal battle good evil plot intricately weave together element mythology futuristic science creating tapestry thought provoking emotionally resonant story follows kalki hero prophesied restore balance world teetering brink chaos narrative gripping scene meticulously crafted keep audience edge seat visuals special effect visual effect kalki nothing short spectacular futuristic landscape rendered level detail awe inspiring transporting viewer another world use cgi seamless enhancing storytelling without overwhelming film cinematography equally impressive frame composed like work art use color lighting innovative camera angle add depth dimension viewing experience performance cast kalki delivers performance powerful nuanced prabhas titular role brings perfect blend intensity vulnerability making kalki hero audience root deepika padukone enigmatic strong willed heroine add layer complexity narrative amitabh bachchan pivotal role delivers performance commanding emotionally charged supporting cast including disha patani brings depth authenticity character enhancing overall impact film direction screenplay nag ashwin direction masterful showcasing ability blend genre create cohesive compelling story vision kalki ambitious executes precision flair screenplay tight perfect balance action drama philosophical musing dialogue poignant often leaving lasting impact long credit roll music sound design music santhosh narayananelevates kalki another level score hauntingly beautiful perfectly complementing film tone theme sound design meticulous creating immersive audio experience draw viewer deeper story conclusion kalki cinematic triumph stand every aspect film challenge inspires entertains leaving profound impact audience movie must watch anyone appreciates art filmmaking storytelling nag ashwin crafted masterpiece remembered landmark indian cinema kalki film journey stay long leave theater,positive
14,synopsis death punishment blessing first half movie begin theme depiction instantly immerse however falter middle due pacing editing issue yet last minute regains footing delivers prabhas best since bahubali film also feature numerous impressive cameo second half oh oh movie save best last especially delving history particularly mahabharata reference despite minor flaw inclined overlook film truly special director ashwin crafted sci fi film remarkable one especially given budget constraint amitabh bachchan stand prabhas delivers commendable performance visuals exceptional serve film hallmark background music superb enriching completing cinematic experience however would preferred utilized extensively present slight missed opportunity final verdict kalki splendid film term quality also due director visionary honest approach history,positive
15,kalki ad spoiler,positive
16,overall good movie downside well spoiler,neutral
17,seems like writer cum director able imagine kalki got exhausted decided copy top sci fi movie hollywood character world building mix made khichdi mahabharat tadka good part copied hollywood idea star war black panther alita battle angel dune blade runner mortal engine also wish even convince copying idea bad unless ripoff unfortunately kalki complete ripoff idea lack essence story hand special effect also cheap level feel like movie made low budget unpaid intern work hard ignore also feel like character movie seemingly directionless unaware environment also failed place neither science fiction fantasy fiction distorted logic mythological character involved dystopian society tell audience think much believe happens instead explaining thing movie seem like crafted passion love rather capitalist pov kudos experiment,negative
18,world onto selfish side spoiler,positive
19,movie review kalki ad rating kalki ad combine ancient indian legend futuristic world leaving audience eager sequel kalki kalki set ad city kasi humanity last refuge ruled god king supreme yaskin played kamal haasan story span mahabharata era future focusing kalki vishnu final avatar amitabh bachchan shine ashwathama guarding sum deepika padukone carrying unborn vishnu prabhas bhairava also impress alongside vijay deverakonda brahmanandam rajendra prasad distinct role natural accent kalki ad visually impress influence hollywood epic like avatar star war avenger etc however movie slow paced first half lessens impact fortunately second half gain momentum thrilling action impressive sound effect enhancing cinematic experience despite initial drawback kalki ad remains bold venture indian cinema pushing boundary theme visual splendor released hindi tamil malayalam kannada english dubbed version worth noting language adaptation may affect viewer engagement particularly hindi english version,positive
20,jack master none used many hero director character movie spoof movie kind serious movie making good real story required sci fi movie without strong story making skill graphic good deepika expression st scene last scene thr movie bujji prabhas joke jell well expected linked movie movie length long hr make audience good nap show night show mentioned wish director concentrate content spending money movie,negative
21,kalki ad movie epic dystopian science fiction action film directed written nag ashwin film feature prabhas amitabh bachchan kamal hassan deepika padukone lead role hollywood range visuals absolutely stunning theatrical watch background score impactful place overall great start epic cinematic universe india kalki ad movie epic dystopian science fiction action film directed written nag ashwin film feature prabhas amitabh bachchan kamal hassan deepika padukone lead role,positive
22,kalki cinematic universe welcome spoiler,neutral
23,unique story mixup technology mahabharata watch also say paisa wasool hai bos eagerly wait part role sir amitabh ji appreciated prabhas ki toh baat hi alag hai technology graphic movie high faadu movie bos wearing power goggles watch normal people watch role tech mahindra car also unique stay away nibba nibbi group movie true lover feel movie action story etc thank wonderful movie,positive
